종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
천랩,+3679,+1339,-4958,,,,,,-4958,,+3
청광건설,,,,,,,,,,,
체리부로,+6127,-6127,,,,,,,,,
초록뱀미디어,-116537,+91371,-6663,+341,,-7004,,,,,+36660
초록뱀컴퍼니,-149957,+13420,,,,,,,,,+123012
카이노스메드,-79561,+65873,+3051,+233,,+225,,,,+2593,+13328
캐리소프트,-17496,+16492,,,,,,,,,+2794
캐스텍코리아,-47607,+39942,,,,,,,,,
캔서롭,,,,,,,,,,,
케어룸의료산업,+100,,-100,-100,,,,,,,
케이디켐,-1762,+2293,,,,,,,,,-648
케이맥,-25248,+21175,,,,,,,,,+4023
케이비제19호스팩,-10,,+10,+10,,,,,,,
케이씨피드,-9852,+13878,-4665,-3789,,,,,,-876,
케이에스피,-20251,+20329,,,,,,,,,
케이엔제이,+9019,+70260,-26717,-4750,,+4800,,,,-26767,-53128
케이프이에스제4호,,,,,,,,,,,
케이피엠테크,+842364,-839492,,,,,,,,,-12800
케이피티유,-4051,+3195,,,,,,,,,+856
코나아이,+5419,-8901,+3705,+6301,-20,+2613,,,,-5189,-121
코너스톤네트웍스,,,,,,,,,,,
코다코,+1963,-1966,,,,,,,,,
코디,+36732,-17828,,,,,,,,,-20491
코드네이처,+4881,-81,,,,,,,,,
코디엠,+5835249,+188232,+931884,,,+931884,,,,,-6848999
코렌,+177237,-117068,,,,,,,,,-65199
코렌텍,-4057,+1778,-1,-1,,,,,,,+1930
코리아에스이,-2993,+2910,,,,,,,,,
코셋,,,,,,,,,,,
코센,,,,,,,,,,,
코스나인,+18059,-11935,,,,,,,,,
코스맥스엔비티,-144107,+105423,+51694,+501,+14198,+28632,,,+8363,,-12468
코스온,,,,,,,,,,,
코아시아옵틱스,,,,,,,,,,,
코오롱생명과학,-3558,+2857,+1,+1,,,,,,,+700
코이즈,+8884,-9043,,,,,,,,,
큐로컴,-49094,+59002,-373,-373,,,,,,,-10434
큐로홀딩스,-29795,+21795,,,,,,,,,
큐리언트,-4114,+3589,+2,+2,,,,,,,-3468
큐브앤컴퍼니,-5595,+5914,,,,,,,,,-329
큐엠씨,,,,,,,,,,,
크로넥스,-216,,+216,+216,,,,,,,
크로바하이텍,,,,,,,,,,,
크루셜텍,+3842,-5903,-112,,,,,,-112,,-2000
키네마스터,+48553,-43767,,,,,,,,,-4938
키움제5호스팩,+3500,,-3500,-3500,,,,,,,
탑선,+1004,,-1004,,,,,,,-1004,
태양기계,,,,,,,,,,,
태양,-256,+206,,,,,,,,,+50
